id,left,top,right,bottom,row_index,col_index,id_2,geometry
555.0,250388.21380677065,317098.41320759384,250403.21380677065,317083.41320759384,14.0,9.0,1,"POLYGON ((250403.2138067707 317098.4132075938, 250403.2138067707 317083.4132075938, 250388.2138067707 317083.4132075938, 250388.2138067707 317098.4132075938, 250403.2138067707 317098.4132075938))"
556.0,250388.21380677065,317083.41320759384,250403.21380677065,317068.41320759384,15.0,9.0,1,"POLYGON ((250403.2138067707 317083.4132075938, 250403.2138067707 317068.4132075938, 250388.2138067707 317068.4132075938, 250388.2138067707 317083.4132075938, 250403.2138067707 317083.4132075938))"
553.0,250388.21380677065,317128.41320759384,250403.21380677065,317113.41320759384,12.0,9.0,1,"POLYGON ((250403.2138067707 317128.4132075938, 250403.2138067707 317113.4132075938, 250388.2138067707 317113.4132075938, 250388.2138067707 317128.4132075938, 250403.2138067707 317128.4132075938))"
554.0,250388.21380677065,317113.41320759384,250403.21380677065,317098.41320759384,13.0,9.0,1,"POLYGON ((250403.2138067707 317113.4132075938, 250403.2138067707 317098.4132075938, 250388.2138067707 317098.4132075938, 250388.2138067707 317113.4132075938, 250403.2138067707 317113.4132075938))"
559.0,250388.21380677065,317038.41320759384,250403.21380677065,317023.41320759384,18.0,9.0,1,"POLYGON ((250403.2138067707 317038.4132075938, 250403.2138067707 317023.4132075938, 250388.2138067707 317023.4132075938, 250388.2138067707 317038.4132075938, 250403.2138067707 317038.4132075938))"
1616.0,250643.21380677065,316483.41320759384,250658.21380677065,316468.41320759384,55.0,26.0,1,"POLYGON ((250656.3161963104 316483.4132075938, 250658.2138067707 316477.0023567535, 250658.2138067707 316468.4132075938, 250643.2138067707 316468.4132075938, 250643.2138067707 316483.4132075938, 250656.3161963104 316483.4132075938))"
560.0,250388.21380677065,317023.41320759384,250403.21380677065,317008.41320759384,19.0,9.0,1,"POLYGON ((250403.2138067707 317023.4132075938, 250403.2138067707 317008.4132075938, 250388.2138067707 317008.4132075938, 250388.2138067707 317023.4132075938, 250403.2138067707 317023.4132075938))"
557.0,250388.21380677065,317068.41320759384,250403.21380677065,317053.41320759384,16.0,9.0,1,"POLYGON ((250403.2138067707 317068.4132075938, 250403.2138067707 317053.4132075938, 250388.2138067707 317053.4132075938, 250388.2138067707 317068.4132075938, 250403.2138067707 317068.4132075938))"
558.0,250388.21380677065,317053.41320759384,250403.21380677065,317038.41320759384,17.0,9.0,1,"POLYGON ((250403.2138067707 317053.4132075938, 250403.2138067707 317038.4132075938, 250388.2138067707 317038.4132075938, 250388.2138067707 317053.4132075938, 250403.2138067707 317053.4132075938))"
547.0,250388.21380677065,317218.41320759384,250403.21380677065,317203.41320759384,6.0,9.0,1,"POLYGON ((250403.2138067707 317218.4132075938, 250403.2138067707 317203.4132075938, 250388.2138067707 317203.4132075938, 250388.2138067707 317218.4132075938, 250403.2138067707 317218.4132075938))"
